"id_publicacao","link_permanente","status_messagem",status_type,Países,Idiomas,status_publicado,"Direcionamento do público","total_publicacao","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","num_pub_corres","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","num_likes","num_shares","num_comments","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - comment","num_other_cliks","num_photo_view","num_link_clicks","num_video_play","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","num_photo_view","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: comentários negativos de usuários por tipo - hide_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_clicks"
218725464821904_1985522754808824,https://www.facebook.com/faculdadecn/posts/1985522754808824,"Hoje é o último dia do 6° Simpósio Fé e Razão, acompanhe o evento ao vivo pelas nossas redes sociais!",Photo,,,"03/21/2018 03:31:09 AM"," ",228,228,0,316,316,0,3,1,1,0,0,176,127,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,,2,1,,,1,,,,1,,,,,,
218725464821904_1984863684874731,https://www.facebook.com/faculdadecn/posts/1984863684874731,"Segundo dia - 6° Simpósio Fé e Razão",Photo,,,"03/20/2018 12:30:50 PM"," ",334,334,0,486,486,0,32,30,38,0,0,438,301,0,0,31,0,0,0,0,0,0,0,0,0,0,2,,,2,,,3,29,,,3,35,,,,,,
218725464821904_1984851978209235,https://www.facebook.com/faculdadecn/posts/1984851978209235,"Já está disponível no portal FCN a matéria sobre o primeiro dia do 6° Simpósio Fé e Razão. Confira!
http://www.fcn.edu.br/blog/2018/03/20/faculdade-cancao-nova-abre-6o-simposio-fe-e-razao/",Link,,,"03/20/2018 12:15:12 PM"," ",177,177,0,278,278,0,7,3,3,0,0,240,151,0,0,7,0,0,0,0,0,0,0,0,0,0,5,,,5,,,1,1,1,,1,1,1,,,,,
218725464821904_1984476644913435,https://www.facebook.com/faculdadecn/posts/1984476644913435,"Segunda parte - 2° dia de Transmissão ao vivo do 6° Simpósio Fé e Razão

https://www.youtube.com/watch?v=XKXkkeTaZ3c",Link,,,"03/20/2018 06:35:32 AM"," ",203,203,0,311,311,0,12,4,5,0,0,251,158,0,0,11,0,0,0,0,0,0,0,0,0,0,8,1,,10,1,,1,2,2,,1,2,2,,,,,
218725464821904_1984426304918469,https://www.facebook.com/faculdadecn/posts/1984426304918469,,Photo,,,"03/20/2018 05:41:53 AM"," ",272,272,0,462,462,0,12,8,10,0,0,280,170,0,0,7,0,0,0,0,0,0,0,0,0,0,4,1,,7,4,,3,7,,,3,7,,,,,,
218725464821904_1984365498257883,https://www.facebook.com/faculdadecn/posts/1984365498257883,"Confira o segundo dia do 6° Simpósio Fé e Razão!
https://www.youtube.com/watch?v=mHZkKJZkDB4",Link,,,"03/20/2018 04:36:20 AM"," ",306,306,0,435,435,0,7,4,4,0,0,239,169,0,0,7,0,0,0,0,0,0,0,0,0,0,3,2,,3,2,,2,1,1,,2,1,1,,,,,
218725464821904_1983609225000177,https://www.facebook.com/faculdadecn/posts/1983609225000177,"6° Simpósio Fé e Razão - dia 19/03/2018",Photo,,,"03/19/2018 12:31:58 PM"," ",692,692,0,974,974,0,80,54,85,0,0,531,365,0,0,41,0,0,0,0,0,0,0,0,0,0,35,1,1,39,1,1,22,38,,,41,44,,,,,,
218725464821904_1983254228369010,https://www.facebook.com/faculdadecn/posts/1983254228369010,"Estamos transmitindo o evento 6° Simpósio Fé e Razão ao vivo, acompanhe!

https://www.youtube.com/watch?v=01qZrtOUCvk",Link,,,"03/19/2018 06:02:44 AM"," ",278,278,0,410,410,0,13,6,7,0,0,251,164,0,0,9,0,0,0,0,0,0,0,0,0,0,7,1,,7,1,,1,1,4,,1,1,5,,,,,
218725464821904_1983210461706720,https://www.facebook.com/faculdadecn/posts/1983210461706720,"Transmissão da Santa Missa - 6° Simpósio Fé e Razão

https://www.youtube.com/watch?v=yPrbbZrWexE",Link,,,"03/19/2018 05:14:43 AM"," ",355,355,0,528,528,0,15,5,6,0,0,284,190,0,0,11,0,0,0,0,0,0,0,0,0,0,12,1,1,12,1,1,1,1,3,,1,1,4,,,,,
218725464821904_1983124385048661,https://www.facebook.com/faculdadecn/posts/1983124385048661,"É HOJE!! Não deixe de acompanhar as nossas redes sociais. :)",Photo,,,"03/19/2018 03:27:26 AM"," ",307,307,0,420,420,0,7,2,3,0,0,228,156,0,0,4,0,0,0,0,0,0,0,0,0,0,5,2,,5,2,,,1,1,,,1,2,,,,,
218725464821904_1978698545491245,https://www.facebook.com/faculdadecn/videos/1978698545491245/,"O 6° Simpósio Fé e Razão está chegando!",Video,,,"03/15/2018 01:00:16 PM"," ",572,572,0,805,805,0,49,27,41,0,0,480,301,0,0,36,26,31,0,0,161,214,0,0,9931,73470,24,5,2,29,5,2,20,,,13,26,,,15,,,,
218725464821904_1978675345493565,https://www.facebook.com/faculdadecn/posts/1978675345493565,"Escola faz professores, médicos, policiais e políticos...
Escola faz o futuro!",Photo,,,"03/15/2018 12:22:37 PM"," ",317,317,0,473,473,0,24,5,5,0,0,397,255,0,0,22,0,0,0,0,0,0,0,0,0,0,21,2,2,21,2,2,4,1,,,4,1,,,,,,
218725464821904_1974671265893973,https://www.facebook.com/faculdadecn/posts/1974671265893973,"O evento também será transmitido pelas redes sociais da Faculdade Canção Nova. Acompanhe e participe!",Photo,,,"03/15/2018 04:31:00 AM"," ",157,157,0,221,221,0,4,0,0,0,0,191,135,0,0,4,0,0,0,0,0,0,0,0,0,0,4,,,4,,,,,,,,,,,,,,
218725464821904_1977423388952094,https://www.facebook.com/faculdadecn/posts/1977423388952094,"Que tal escrever uma poesia para quem você gosta? 
Marque nos comentários alguém que ficará muito feliz em ser lembrado por você!",Photo,,,"03/14/2018 02:00:01 PM"," ",188,188,0,297,297,0,12,7,10,0,0,235,141,0,0,12,0,0,0,0,0,0,0,0,0,0,5,2,2,5,2,2,4,4,,,5,5,,,,,,
218725464821904_1967813569913076,https://www.facebook.com/faculdadecn/posts/1967813569913076,,Photo,,,"03/14/2018 08:00:00 AM"," ",139,139,0,212,212,0,2,0,0,0,0,180,119,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,,2,,,,,,,,,,,,,,
218725464821904_1977008718993561,https://www.facebook.com/faculdadecn/posts/1977008718993561,"Você está no 7º período?
Tá se preparando para o TCC?
Já vai se formar?

Essa oficina é pra você.
Se inscreva até quinta-feira, dia 15/03 na coordenação do seu curso.",Photo,,,"03/14/2018 06:00:00 AM"," ",271,271,0,438,438,0,24,14,18,0,0,325,197,0,0,20,0,0,0,0,0,0,0,0,0,0,12,1,2,13,1,2,9,5,,,12,6,,,,,,
