"Número de identificação da publicação","Link permanente","Publicar mensagem",Tipo,Países,Idiomas,Publicado,"Direcionamento do público","Vitalício: alcance total da publicação","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","Vitalício: consumidores de direcionamento do público com correspondência na publicação","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","Vitalício: Falando sobre isso (publicação) por tipo de ação - share","Vitalício: Falando sobre isso (publicação) por tipo de ação - like","Vitalício: Falando sobre isso (publicação) por tipo de ação - comment","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - comment","Consumos únicos de direcionamento para público de publicações vitalício por tipo - other clicks","Consumos únicos de direcionamento para público de publicações vitalício por tipo - photo view","Consumos únicos de direcionamento para público de publicações vitalício por tipo - video play","Consumos únicos de direcionamento para público de publicações vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","Consumos de direcionamento para público correspondente vitalício por tipo - photo view","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks"
218725464821904_2056248194402946,https://www.facebook.com/faculdadecn/posts/2056248194402946,"Hoje teremos missa em honra a Nossa Senhora Auxiliadora, às 19h50 na quadra da FCN .  Venha celebrar conosco!",Photo,,,"05/24/2018 03:30:00 AM"," ",356,356,0,538,538,0,17,4,4,0,0,351,219,0,0,10,0,0,0,0,0,0,0,0,0,0,2,13,,2,14,,2,2,,,2,2,,,,
218725464821904_2056429674384798,https://www.facebook.com/faculdadecn/videos/2056429674384798/,"Estreia hoje o Vlog &quot;Universitárias em Ação&quot; da Faculdade Canção Nova. As alunas Carla Zanon (1º período de Jornalismo), Leônia Graça (1º perído de Rádio e TV)  e Maria Luíza (3º Período de Jornalismo), mostrarão o dia a dia da FCN. Neste primeiro episódio elas apresentam a Faculdade. Confira o vídeo completo no link: ;)

https://youtu.be/aI_-PimCcBg",Video,,,"05/23/2018 12:49:07 PM"," ",6086,6086,0,10347,10347,0,915,770,1318,0,0,1598,854,0,0,161,800,856,0,0,2460,3019,0,0,14972,59198,30,354,53,33,426,89,733,,260,34,1005,,279,34,,
218725464821904_2056414037719695,https://www.facebook.com/faculdadecn/posts/2056414037719695,"Devido à greve dos caminhoneiros com a dificuldade de locomoção a FCN, o prazo para renovação das Bolsas Filantrópicas foi prorrogado para 28, 29 e 30 de maio de 2018. Os alunos que não conseguirem chegar para o horário agendado, podem entrar em contato pelo número 3186 2000 ramal 35015 (Assistência Social)  e solicitar um novo horário.

𝐈𝐧𝐟𝐨𝐫𝐦𝐚𝐦𝐨𝐬 𝐭𝐚𝐦𝐛é𝐦, 𝐪𝐮𝐞 𝐚𝐬 𝐚𝐮𝐥𝐚𝐬 𝐚𝐜𝐨𝐧𝐭𝐞𝐜𝐞𝐦 𝐧𝐨𝐫𝐦𝐚𝐥𝐦𝐞𝐧𝐭𝐞.",Photo,,,"05/23/2018 12:23:26 PM"," ",576,576,0,809,809,0,53,46,53,0,0,618,438,0,0,46,0,0,0,0,0,0,0,0,0,0,2,13,,2,13,,37,10,,1,41,11,,1,,
218725464821904_2055422624485503,https://www.facebook.com/faculdadecn/posts/2055422624485503,"Administração na Prática 2018 - 
Evento desenvolvido pelos alunos do 5º Período de Administração da Faculdade Canção Nova, tem como objetivo proporcionar aos alunos a oportunidade de colocar na prática todo conhecimento teórico adquirido dentro da sala de aula. O ADM na prática 2018 aconteceu no dia 19/05/2018 na Praça Prado Filho, centro da cidade de Cachoeira Paulista. Durante o evento, oficinas, show musical, aferição de pressão, doação de agasalhos e animais estavam entre a programação.",Photo,,,"05/22/2018 01:53:05 PM"," ",1056,1056,0,1545,1545,0,132,108,241,0,0,967,615,0,0,88,0,0,0,0,0,0,0,0,0,0,4,40,1,4,46,1,40,84,,,137,104,,,,
218725464821904_2054957824531983,https://www.facebook.com/faculdadecn/posts/2054957824531983,"Não se inscreveu para o 5º SIC? Então corre que dá tempo! As inscrições foram prorrogadas até 24/05. Não perca essa oportunidade de mostrar seu trabalho. Se inscreva e participe!  Inscrições no portal: https://extensao.fcn.edu.br/",Photo,,,"05/22/2018 04:47:43 AM"," ",259,259,0,369,369,0,8,2,2,0,0,334,229,0,0,8,0,0,0,0,0,0,0,0,0,0,,7,,,7,,1,1,,,1,1,,,,
218725464821904_2054294357931663,https://www.facebook.com/faculdadecn/videos/2054294357931663/,"&quot;Não podemos prever o futuro, mas podemos criá-lo&quot;! (Peter Drucker)
#ADMNaPrática #adm #admnapraticafcn
#5peridododeadm
#comeceasemanaassim",Video,,,"05/21/2018 02:26:35 PM"," ",271,271,0,398,398,0,40,32,46,0,0,341,223,0,0,34,67,78,0,0,124,149,0,0,8610,10834,,11,2,,12,2,16,,25,,19,,27,,,
218725464821904_2051146674913098,https://www.facebook.com/faculdadecn/posts/2051146674913098,,Photo,,,"05/20/2018 08:00:01 AM"," ",291,291,0,412,412,0,15,4,5,0,0,323,219,0,0,15,0,0,0,0,0,0,0,0,0,0,1,10,,1,10,,2,2,,,2,3,,,,
218725464821904_2051147308246368,https://www.facebook.com/faculdadecn/posts/2051147308246368,"Inscrições abertas para o 5º Simpósio de Iniciação Científica. 
Prepare seu resumo e participe!",Photo,,,"05/19/2018 01:00:00 PM"," ",223,223,0,348,348,0,10,4,4,0,0,315,196,0,0,10,0,0,0,0,0,0,0,0,0,0,,7,,,7,,1,3,,,1,3,,,,
218725464821904_2056256324402133,https://www.facebook.com/faculdadecn/posts/2056260834401682,"Administração na Prática 2018 - 
Evento desenvolvido pelos alunos do 5º Período de Administração da Faculdade Canção Nova, tem como objetivo proporcionar aos alunos a oportunidade de colocar na prática todo conhecimento teórico adquirido dentro da sala de aula. O ADM na prática 2018 aconteceu no dia 19/05/2018 na Praça Prado Filho, centro da cidade de Cachoeira Paulista. Durante o evento, oficinas, show musical, aferição de pressão, doação de agasalhos e animais estavam entre a programação.
Fotos: Gabriel Santos (1º JOR 2018)",Photo,,,"05/19/2018 08:00:00 AM"," ",77,77,0,117,117,0,14,10,14,0,0,83,50,0,0,10,0,0,0,0,0,0,0,0,0,0,,4,,,4,,,10,,,,14,,,,
218725464821904_2056436507717448,https://www.facebook.com/faculdadecn/posts/2056436997717399:0,"Administração na Prática 2018",Photo,,,"05/19/2018 08:00:00 AM"," ",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
218725464821904_2051759688185130,https://www.facebook.com/faculdadecn/posts/2051759688185130,"O Núcleo de produção midiática da Fcn está acompanhando todo evento &quot;Adm na Prática&quot;. Em breve teremos a matéria completa pra vocês, fiquem ligados!  📽📸🎬#FCN #faculdadecn #admnaprática #admnapraticafcn #adm #rtv #jor #jorporamor  @ Praça Prado Filho",Photo,,,"05/19/2018 07:53:13 AM"," ",1069,1069,0,1880,1880,0,49,35,46,0,0,760,495,0,0,42,0,0,0,0,0,0,0,0,0,0,,20,,,21,,8,31,,,10,36,,,,
218725464821904_2051746361519796,https://www.facebook.com/faculdadecn/posts/2051746361519796:0,"Professor Wellington José na última oficina de hoje, &quot;Aprendendo a empreender&quot;. #admnaprática #admnapraticafcn #adm #fcn #faculdadecn",Photo,,,"05/19/2018 07:37:38 AM"," ",197,197,0,304,304,0,13,7,11,0,0,269,166,0,0,13,0,0,0,0,0,0,0,0,0,0,,8,,,9,,2,6,,,2,9,,,,
218725464821904_2051707898190309,https://www.facebook.com/faculdadecn/posts/2051707898190309:0,"Venha elaborar seu currículo e se prepare para o mercado de trabalho. Os alunos do 5° período de Administração, Mateus e Suelen, estão  prontos pra te ajudar. Vem pro Adm na Prática! #admnaprática #admnapraticafcn #FCN #faculdadecn #adm",Photo,,,"05/19/2018 06:57:51 AM"," ",216,216,0,336,336,0,13,5,8,0,0,301,188,0,0,13,0,0,0,0,0,0,0,0,0,0,,10,,,13,,2,4,,,2,6,,,,
218725464821904_2051694448191654,https://www.facebook.com/faculdadecn/posts/2051694448191654:0,"Os alunos Andrei e Chaile estão recebendo doação de agasalhos para distribuir a casa do Bom Samaritano. Ajude quem precisa e participe do ADM na Prática. As atividades acontecem até as 13h de hoje na Praça Prado Filho, praça central de Cachoeira Paulista.  #admnaprática #admnapraticafcn #adm #faculdadecn #FCN",Photo,,,"05/19/2018 06:42:53 AM"," ",117,117,0,184,184,0,11,4,5,0,0,150,91,0,0,11,0,0,0,0,0,0,0,0,0,0,,8,,,12,,2,3,,,2,3,,,,
218725464821904_2051676841526748,https://www.facebook.com/faculdadecn/posts/2051676841526748:0,"E ai, já fez a sua inscrição para as oficinas que estão acontecendo aqui na Praça? Corre que ainda dá tempo! As alunas do 5° periodo de ADM estão te esperando. Vem pro Adm na Prática;) #admnapraticafcn #admnaprática #adm #FCN #faculdadecn",Photo,,,"05/19/2018 06:24:42 AM"," ",138,138,0,209,209,0,13,5,6,0,0,177,111,0,0,13,0,0,0,0,0,0,0,0,0,0,,9,,,9,,3,3,,,3,3,,,,
218725464821904_2051139754913790,https://www.facebook.com/faculdadecn/videos/2051139754913790/,"&quot;Eu tenho um sonho... que meus filhos um dia viverão em uma nação onde não serão julgados pela cor da pele, mas pelo conteúdo do seu caráter. Eu tenho um sonho... Martin Luther King #naoaoracismo&quot; 
É com essa mensagem que termina a 7ª Jornada de Comunicação da Faculdade Canção Nova.  #7jornadadacomunicação #FCN #faculdadecn",Video,,,"05/18/2018 05:19:22 PM"," ",338,338,0,531,531,0,38,26,42,0,0,298,168,0,0,30,6,6,0,0,81,104,0,0,5704,39936,3,15,,3,15,,15,2,16,,21,3,18,,,
218725464821904_2051046331589799,https://www.facebook.com/faculdadecn/posts/2051046331589799,"A Faculdade Canção Nova promoveu de 15 a 18 de maio de 2018 a 7ª Jornada de Comunicação com o tema: “Valorização da cultura afro e combate ao racismo”.

Entre a programação do evento houve palestras, oficinas, mesa redonda, sarau, workshops, visita técnica, mostra e concurso de fotografia, programa ao vivo e shows. 

A Jornada de Comunicação foi aberta apenas para os alunos dos cursos de Comunicação da FCN e teve por objetivo proporcionar aos alunos contato com profissionais de mercado por meio de palestras e oficinas específicas que ajudam a complementar a grade curricular. Os temas escolhidos para o evento sempre levam em consideração assuntos relevantes para a comunicação social e que estão em destaque na mídia nacional e internacional.",Photo,,,"05/18/2018 03:08:01 PM"," ",125,125,0,175,175,0,14,14,24,0,0,173,123,0,0,12,0,0,0,0,0,0,0,0,0,0,,,,,,,6,10,,,10,14,,,,
218725464821904_2050988371595595,https://www.facebook.com/faculdadecn/posts/2050988371595595,"A Faculdade Canção Nova promoveu de 15 a 18 de maio de 2018 a 7ª Jornada de Comunicação com o tema: “Valorização da cultura afro e combate ao racismo”.

Entre a programação do evento houve palestras, oficinas, mesa redonda, sarau, workshops, visita técnica, mostra e concurso de fotografia, programa ao vivo e shows. 

A Jornada de Comunicação foi aberta apenas para os alunos dos cursos de Comunicação da FCN e teve por objetivo proporcionar aos alunos contato com profissionais de mercado por meio de palestras e oficinas específicas que ajudam a complementar a grade curricular. Os temas escolhidos para o evento sempre levam em consideração assuntos relevantes para a comunicação social e que estão em destaque na mídia nacional e internacional.",Photo,,,"05/18/2018 01:44:09 PM"," ",464,464,0,696,696,0,49,47,77,0,0,650,428,0,0,44,0,0,0,0,0,0,0,0,0,0,,4,,,12,,15,38,,,34,43,,,,
218725464821904_2050981718262927,https://www.facebook.com/faculdadecn/videos/2050981718262927/,"O Consultor Web Paulo Moraes também estará conosco nessa noite e convida os alunos da FCN para a oficina: Como ser um profissional de marketing digital com resultados. Participem da #7jornadadacomunicação #FCN #faculdadecn",Video,,,"05/18/2018 01:34:24 PM"," ",147,147,0,232,232,0,10,6,18,0,0,185,113,0,0,9,7,7,0,0,35,40,0,0,4557,17043,,5,,,5,,4,3,3,,11,4,3,,,
218725464821904_2050980581596374,https://www.facebook.com/faculdadecn/videos/2050980581596374/,"A Jornalista Caroline Teberga convida você, aluno da FCN para um encontro hoje, na oficina sobre assessoria de imprensa esportiva. Vem pra #7jornadadacomunicação #FCN #faculdadecn. Participem! ;)",Video,,,"05/18/2018 01:33:34 PM"," ",134,134,0,198,198,0,10,6,15,0,0,156,100,0,0,10,21,25,0,0,36,45,0,0,6188,9241,,5,,,6,,4,3,1,,10,4,1,,,
218725464821904_2050926811601751,https://www.facebook.com/faculdadecn/posts/2050926811601751,"Confira as oficinas que acontecerão hoje a partir das 19h na 7ª Jornada de Comunicação. #7jornadadacomunicação #FCN #faculdadecn",Photo,,,"05/18/2018 12:17:54 PM"," ",238,238,0,343,343,0,15,8,11,0,0,280,187,0,0,14,0,0,0,0,0,0,0,0,0,0,1,7,,1,7,,1,8,,,3,8,,,,
218725464821904_2050144838346615,https://www.facebook.com/faculdadecn/posts/2050144838346615,"Inscrições abertas para o 5º Simpósio de Iniciação Científica da Faculdade Canção Nova. Não perca tempo, prepare já o seu resumo científico!
Acesse no portal: https://extensao.fcn.edu.br/simposio/5o-simposio-de-iniciacao-cientifica/",Photo,,,"05/17/2018 06:30:00 PM"," ",173,173,0,273,273,0,8,4,9,0,0,239,146,0,0,8,0,0,0,0,0,0,0,0,0,0,,5,,,5,,1,3,,1,4,4,,1,,
218725464821904_2050186918342407,https://www.facebook.com/faculdadecn/posts/2050186918342407:0,"Toda equipe do programa Nigth Games comemorando o sucesso da gravação ;) #7jornadadacomunicação #FCN #faculdadecn",Photo,,,"05/17/2018 06:10:29 PM"," ",581,581,0,860,860,0,63,34,43,0,0,499,306,0,0,46,0,0,0,0,0,0,0,0,0,0,3,34,,3,35,,13,25,,,18,25,,,,
218725464821904_2050171268343972,https://www.facebook.com/faculdadecn/posts/2050171268343972:0,"Nigth games, programa ao vivo dos 5° período de Radio e Tv.  E ai, estão gostando? Curta, compartilhe e comente! #7jornadadacomunicação #FCN #faculdadecn",Photo,,,"05/17/2018 05:47:37 PM"," ",256,256,0,427,427,0,21,8,9,0,0,294,156,0,0,18,0,0,0,0,0,0,0,0,0,0,2,14,,2,15,,3,6,,,3,6,,,,
218725464821904_2050142568346842,https://www.facebook.com/faculdadecn/videos/2050142568346842/,"Obrigado Professor Nilo por dividir conosco um pouco do seu conhecimento. Ficamos honrados com sua presença. #7jornadadacomunicação #FCN #faculdadecn",Video,,,"05/17/2018 05:22:00 PM"," ",176,176,0,274,274,0,7,4,5,0,0,233,147,0,0,5,5,5,0,0,50,52,0,0,4761,35664,,3,,,3,,2,1,2,,2,1,2,,,
218725464821904_2050041068356992,https://www.facebook.com/faculdadecn/posts/2050041068356992:0,"Professor e jornalista Nilo Sérgio da ECO - UFRJ, em sua palestra &quot;A importância das mídias na atualidade&quot;. Participe, compatilhem e comentem! Logo mais, programa ao vivo dos alunos do 5° RTV.
#7jornadadecomunicacao #FCN",Photo,,,"05/17/2018 03:20:29 PM"," ",141,141,0,224,224,0,8,2,3,0,0,159,93,0,0,7,0,0,0,0,0,0,0,0,0,0,2,6,,3,6,,2,1,,,2,1,,,,
218725464821904_2049949108366188,https://www.facebook.com/faculdadecn/posts/2049949108366188,"#ACONTECEU Os alunos dos cursos de Jornalismo e Rádio e TV estiveram em visita técnica nas sedes das redações do Jornal O Vale e da TV Vanguarda em São José dos Campos-SP. A ideia é que os alunos tenham a oportunidade de ver e tocar o cotidiano da profissão. A visita é uma das atividades promovidas na Jornada da Comunicação que está acontecendo esta semana na Faculdade Canção Nova.
Foto: Victor Anicieto e Carla Zanon.",Photo,,,"05/17/2018 01:02:31 PM"," ",640,640,0,921,921,0,75,59,94,0,0,644,443,0,0,60,0,0,0,0,0,0,0,0,0,0,2,23,,2,24,,26,46,,,43,51,,,,
218725464821904_2049920368369062,https://www.facebook.com/faculdadecn/videos/2049920368369062/,"Ta chegando o ADM na Prática! É nesse sábado dia 19 /05.Não perca!
Oficinas culturais, palestras, confecção de currículos, sorteio de brindes e muito mais! Confira o recado especial da professora Juliana Albuquerque e  de toda a turma do 5º período de Administração da Faculdade Canção Nova ;) 
#AdmNaPrática2018   #VemPraFCN",Video,,,"05/17/2018 12:26:50 PM"," ",1254,1254,0,1935,1935,0,90,66,89,0,0,752,425,0,0,53,33,41,0,0,344,405,0,0,12758,116905,13,34,3,15,38,4,50,3,27,,57,4,28,,,
218725464821904_2047780071916425,https://www.facebook.com/faculdadecn/posts/2047780071916425,"Hoje tem mais Jornada de Comunicação. Participem! ;)",Photo,,,"05/17/2018 11:00:01 AM"," ",246,246,0,361,361,0,13,9,13,0,0,266,175,0,0,13,0,0,0,0,0,0,0,0,0,0,2,7,,2,7,,7,5,,,8,5,,,,
218725464821904_2049795671714865,https://www.facebook.com/faculdadecn/videos/2049795671714865/,"Professor e jornalista Nilo Sérgio da ECO - UFRJ, convida você aluno da FCN, para participar hoje a noite da palestra sobre &quot;A importância das mídias na atualidade&quot;. Venha participar e não perca! ;)
#7jornadadecomunicacao #FCN",Video,,,"05/17/2018 09:32:10 AM"," ",403,403,0,571,571,0,22,12,18,0,0,324,213,0,0,18,5,6,0,0,93,109,0,0,3833,32509,3,12,,3,14,,10,1,4,,13,1,4,,,
218725464821904_2049055265122239,https://www.facebook.com/faculdadecn/posts/2049055265122239,"Os alunos do 5º período de RTV já estão preparados para o programa ao vivo de hoje a noite! Não percam! #7jornadadacomunição",Photo,,,"05/17/2018 06:00:01 AM"," ",201,201,0,278,278,0,10,2,3,0,0,227,157,0,0,10,0,0,0,0,0,0,0,0,0,0,1,7,,1,7,,,2,,,,3,,,,
218725464821904_2049049648456134,https://www.facebook.com/faculdadecn/posts/2049049648456134:0,"7ª Jornada de Comunicação",Photo,,,"05/16/2018 05:53:12 PM"," ",283,283,0,403,403,0,23,22,29,0,0,376,259,0,0,23,0,0,0,0,0,0,0,0,0,0,,1,,,1,,4,20,,,9,20,,,,
218725464821904_2049047438456355,https://www.facebook.com/faculdadecn/posts/2049047438456355,"A Faculdade Canção Nova promoveu de 15 a 18 de maio de 2018 a 7ª Jornada de Comunicação com o tema: “Valorização da cultura afro e combate ao racismo”.

Entre a programação do evento houve palestras, oficinas, mesa redonda, sarau, workshops, visita técnica, mostra e concurso de fotografia, programa ao vivo e shows. 

A Jornada de Comunicação foi aberta apenas para os alunos dos cursos de Comunicação da FCN e teve por objetivo proporcionar aos alunos contato com profissionais de mercado por meio de palestras e oficinas específicas que ajudam a complementar a grade curricular. Os temas escolhidos para o evento sempre levam em consideração assuntos relevantes para a comunicação social e que estão em destaque na mídia nacional e internacional.",Photo,,,"05/16/2018 05:51:37 PM"," ",37,37,0,51,51,0,12,10,12,0,0,16,13,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,,1,5,,1,9,,1,1,10,,1,,
218725464821904_2049013825126383,https://www.facebook.com/faculdadecn/posts/2049013825126383,"Já está disponível no portal da FCN a matéria sobre o primeiro dia da 7ª Jornada de Comunicação. Confira!

http://www.fcn.edu.br/blog/2018/05/16/acompanhe-as-atividades-da-7a-jornada-de-comunicacao/",Photo,,,"05/16/2018 05:06:18 PM"," ",212,212,0,314,314,0,10,4,5,0,0,253,164,0,0,10,0,0,0,0,0,0,0,0,0,0,1,6,,1,6,,,1,,3,,1,,4,,
218725464821904_2047772661917166,https://www.facebook.com/faculdadecn/posts/2047772661917166,"Hoje as atividades serão na quadra da FCN. Veja a programação! ;)",Photo,,,"05/16/2018 01:30:00 PM"," ",209,209,0,334,334,0,14,8,9,0,0,266,164,0,0,13,0,0,0,0,0,0,0,0,0,0,1,8,,1,8,,2,6,,,3,6,,,,
218725464821904_2048672971827135,https://www.facebook.com/faculdadecn/videos/2048672971827135/,"#ACONTECEU ontem o inicio da 7ª Jornada de Comunicação e Núcleo de produção midiática da faculdade está acompanhando tudo de pertinho. Fiquem ligados na programação de hoje e participem!",Video,,,"05/16/2018 11:00:01 AM"," ",628,628,0,932,932,0,64,44,63,0,0,551,331,0,0,48,47,52,0,0,187,210,0,0,9027,39486,4,30,3,4,33,4,39,,11,,47,,16,,,
218725464821904_2048742848486814,https://www.facebook.com/faculdadecn/videos/2048742848486814/,"O professor Adelci convida os alunos para a mesa redonda de hoje:  &quot;Valorização da cultura afro e combate ao racismo&quot;. Participem da 7ª Jornada de Comunicação!",Video,,,"05/16/2018 10:49:19 AM"," ",171,171,0,274,274,0,18,11,16,0,0,226,138,0,0,17,18,22,0,0,44,58,0,0,5620,17107,1,8,2,1,8,3,8,,4,,11,,5,,,
218725464821904_2048022855225480,https://www.facebook.com/faculdadecn/posts/2048022855225480,"Palestra com Caique Toledo, editor de conteúdo e internet do jornal &quot;O Vale&quot;,  no primeiro dia da 7° Jornada de Comunicação da FCN
📸 Reginaldo Cesar",Photo,,,"05/15/2018 06:04:08 PM"," ",362,362,0,562,562,0,37,19,35,0,0,490,313,0,0,35,0,0,0,0,0,0,0,0,0,0,1,22,,1,22,,8,16,,,13,22,,,,
218725464821904_2047766998584399,https://www.facebook.com/faculdadecn/posts/2047766998584399,"7ª Jornada de Comunicação, participem! ;)",Photo,,,"05/15/2018 01:30:00 PM"," ",242,242,0,379,379,0,12,4,5,0,0,313,193,0,0,12,0,0,0,0,0,0,0,0,0,0,1,10,,1,10,,,4,,,,5,,,,
218725464821904_2047707295257036,https://www.facebook.com/faculdadecn/posts/2047707295257036,"É hoje!! 7ª Jornada de Comunicação, uma semana cheia de novidades e apresentações para alunos da FCN. Confira a programação ;)",Photo,,,"05/15/2018 10:49:40 AM"," ",524,524,0,807,807,0,33,21,30,0,0,467,281,0,0,28,0,0,0,0,0,0,0,0,0,0,2,14,1,2,14,1,6,18,,,9,21,,,,
218725464821904_2046496122044820,https://www.facebook.com/faculdadecn/posts/2046496122044820,"De 15 a 19 de maio a FCN tá cheia de novidades. Fiquem ligados e participem! ;)",Photo,,,"05/14/2018 07:42:46 AM"," ",692,692,0,1104,1104,0,39,21,25,0,0,612,352,0,0,30,0,0,0,0,0,0,0,0,0,0,6,20,1,6,21,1,6,17,,,7,18,,,,
218725464821904_2043417645686001,https://www.facebook.com/faculdadecn/videos/2043417645686001/,"Administração na Prática chegando, falta apenas uma semana. Fique ligado no convite das alunas Stefani Maria, Josiane Sousa, Alciane Lemes e do professor Norio Ishisaki.;) #admNaPrática",Video,,,"05/11/2018 12:18:59 PM"," ",1799,1799,0,2720,2720,0,150,116,166,0,0,945,538,0,0,63,38,45,0,0,530,667,0,0,9387,87870,15,52,4,16,63,4,94,,51,,107,,59,,,
218725464821904_2042420422452390,https://www.facebook.com/faculdadecn/videos/2042420422452390/,"O &quot;Bastidores FCN&quot; dessa semana continua com a série de making-ofs do 7º período de Rádio e TV. Dessa vez, eles prepararam um brigadeirão de microondas. O trabalho faz parte da disciplina Edição de Vídeo II e aplica conhecimentos de storyboard, planos, enquadramentos, iluminação, edição de vídeo e som. 

Quer conhecer a receita completa? Acesse: https://youtu.be/1DNxdHeIueA",Video,,,"05/10/2018 12:50:12 PM"," ",361,361,0,585,585,0,28,17,26,0,0,384,219,0,0,25,10,10,0,0,110,142,0,0,11337,92457,2,13,,2,17,,12,,8,,18,,8,,,
218725464821904_2042281062466326,https://www.facebook.com/faculdadecn/posts/2042281062466326,"Os alunos do 3º período do Curso de Administração, sob a orientação do Prof. Fábio Antônio e acompanhamento do Prof. Coordenador do Curso Rodolfo Aquino, realizaram um projeto de arrecadação de livros e produtos digitais. Empenho e organização não faltaram por parte dos alunos, que organizados em grupos com atividades especificas conseguiram assim por em prática este belíssimo projeto.

Conheça mais sobre o projeto no portal da FCN: http://www.fcn.edu.br/",Photo,,,"05/10/2018 09:33:04 AM"," ",244,244,0,411,411,0,18,12,15,0,0,345,206,0,0,14,0,0,0,0,0,0,0,0,0,0,1,9,,1,9,,6,5,,1,8,6,,1,,
218725464821904_2041606419200457,https://www.facebook.com/faculdadecn/posts/2041606419200457,"Nosso #tbt de hoje é para relembrar o lançamento da 7ª Jornada de Comunicação",Photo,,,"05/10/2018 07:00:02 AM"," ",792,792,0,1250,1250,0,54,47,60,0,0,865,556,0,0,49,0,0,0,0,0,0,0,0,0,0,2,16,,2,17,,9,42,,,13,47,,,,
218725464821904_2041599582534474,https://www.facebook.com/faculdadecn/posts/2041599582534474,"Está chegando nossa Jornada! #7jornadadecomunicação #sóvem7jornada #esquenta7jornada",Photo,,,"05/09/2018 05:28:25 PM"," ",779,779,0,1172,1172,0,34,12,14,0,0,460,246,0,0,23,0,0,0,0,0,0,0,0,0,0,8,22,,9,23,,8,5,,,9,5,,,,
218725464821904_2041358385891927,https://www.facebook.com/faculdadecn/videos/2041358385891927/,"O evento &quot;Administração na Prática&quot; já está em contagem regressiva,faltam só 10 dias. Confira o recado da aluna Alciane Corrêa (5º administração) e da professora Fernanda Zanin. ;) #admNaPratica2018.",Video,,,"05/09/2018 11:57:10 AM"," ",872,872,0,1368,1368,0,67,48,70,0,0,602,343,0,0,37,25,30,0,0,242,305,0,0,8335,63166,12,30,,13,42,,34,,29,,39,,31,,,
218725464821904_2040320509329048,https://www.facebook.com/faculdadecn/videos/2040320509329048/,"Fala Galera! Este é mais um “Formei, e aí”?
O entrevistado de hoje é o David Fagundes, ex-aluno do curso de Filosofia.",Video,,,"05/08/2018 11:53:22 AM"," ",2460,2460,0,4312,4312,0,315,234,348,0,0,686,377,0,0,54,118,118,0,0,886,1036,0,0,12299,93225,9,161,16,9,183,23,222,,59,,287,,61,,,
218725464821904_2039453609415738,https://www.facebook.com/faculdadecn/posts/2039453609415738,"Inscreva-se na 7ª Jornada de Comunicação. Participe!!! #7jornadadecomunicação #sohvem7jornada #esquenta7jornada",Link,,,"05/07/2018 03:56:34 PM"," ",682,682,0,999,999,0,60,24,27,0,0,965,649,0,0,59,0,0,0,0,0,0,0,0,0,0,,46,1,,48,1,24,,,,27,,,,,
